"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"31696","0","2",1986-02-17,"0",38.3,-121.6,"2",0,"2","2","0",11000,53400
"31698","0","2",1980-02-16,"0",34.2,-118.4,"3",0,"1","1","0",328.2,45000
"31702","0","1",1980-02-16,"0",34.4,-119,"2",0,"2","3","0",5500,20000
"31704","0","1",1983-01-27,"0",37,-122,"2",0,"2","2","0",730,43000
"31711","0","2",1983-01-27,"0",34.4,-119.5,"2",0,"2","2","0",4579.33,116500
"31719","0","2",1983-01-27,"0",34,-118.6,"3",0,"1","1","0",8623,45000
"31722","0","3",1995-01-10,"0",38.6,-121.4,"2",0,"2","2","0",17695.19,206900
"31723","0","4",1986-02-18,"0",38.7,-121.6,"3",0,"1","2","0",10000,85000
"31726","0","2",1980-02-16,"0",33.8,-116.5,"2",0,"3","1","0",1363.55,10000
"31727","0","4",1995-01-09,"0",38.6,-121.4,"2",0,"2","2","0",6894.62,233900
"31730","0","1",1997-01-01,"0",40.3,-123.9,"2",0,"2","1","0",9952,68600
"31749","0","2",1983-03-01,"0",37.3,-121.9,"3",0,"1","2","0",3168.14,45000
"31751","0","2",1983-03-01,"0",37.4,-121.9,"2",0,"2","2","0",1020.89,61600
"31764","0","4",1986-02-19,"0",38.1,-121.6,"2",0,"2","2","0",10000,49000
"31770","0","2",1992-02-10,"0",34.2,-118.4,"2",0,"2","2","0",1380,49000
"31772","0","2",1983-01-27,"0",34,-118.7,"3",0,"1","2","0",1010,103200
"31776","0","1",1983-01-27,"0",33,-117.3,"3",0,"1","2","0",10000,45000
"31777","0","2",1983-03-02,"0",34.1,-118.6,"3",0,"3","2","0",494.25,245000
"31790","0","1",1982-01-04,"0",38,-122.1,"2",0,"1","3","0",20000,20000
"31794","0","2",1983-03-02,"0",34.1,-118.4,"2",0,"2","2","0",646,53400
"31817","0","2",1988-01-18,"0",34,-118.6,"3",0,"1","2","0",610,144700
"31818","0","2",1983-01-27,"0",37,-121.9,"3",0,"1","2","0",1240.26,27300
"31819","0","2",1983-01-27,"0",34.1,-118.5,"2",0,"2","2","0",8044.65,245000
"31820","0","2",1992-02-11,"0",34.1,-118.8,"3",0,"3","2","1",2221.3,113700
"31823","0","2",1986-02-14,"0",34.1,-118.6,"2",0,"2","2","0",77,58200
"31827","0","1",1983-01-27,"0",33,-117.3,"2",0,"2","2","0",2191,45000
"31830","0","2",1983-01-27,"0",37,-121.9,"1",0,"1","2","0",1149.69,45000
"31833","0","1",1986-02-20,"0",38.2,-121.7,"2",0,"2","2","0",3242.75,208200
"31837","0","1",1983-03-02,"0",32.8,-117.2,"2",0,"2","3","0",936,40000
"31838","0","2",1986-02-17,"0",38.3,-122.3,"2",0,"2","2","0",15251.45,58200
"31846","0","1",1995-01-10,"0",33.9,-118.2,"2",0,"2","2","0",3378.72,45000
"31849","0","1",1983-03-02,"0",33.9,-117.8,"2",0,"2","1","0",535,93000
"31850","0","2",1980-02-20,"0",34,-118.1,"2",0,"2","2","0",787.5,45000
"31855","0","2",1983-03-02,"0",39,-122.9,"2",0,"2","2","0",10000,45000
"31858","0","1",1983-03-01,"0",40,-122.1,"2",0,"2","2","0",3200,12000
"31866","0","2",1997-01-02,"0",36.9,-119.8,"2",0,"2","3","0",20000,235000
"31869","0","3",1988-01-18,"0",33.4,-117.6,"3",0,"3","2","0",5648,221500
"31871","0","2",1983-03-02,"0",33.8,-118.2,"2",0,"2","2","0",5182.41,45000
"31872","0","2",1982-01-04,"0",38.2,-122.7,"2",0,"2","2","0",445,111000
"31875","0","2",2003-03-16,"0",33.1,-117.1,"2",0,"2","2","1",848.97,250000
"31879","0","2",1983-03-02,"0",34.1,-118.5,"3",0,"3","2","0",5456.36,49000
"31882","0","2",1983-01-27,"0",34.1,-118.4,"3",0,"3","1","0",10500,227200
"31888","0","2",1983-03-02,"0",34.4,-119.5,"2",0,"2","2","0",938.5,150000
"31905","0","1",1983-01-27,"0",38,-122.5,"2",0,"2","2","0",10000,45000
"31906","0","2",1983-03-02,"0",34,-118.4,"2",0,"2","2","0",740,49000
"31910","0","1",1995-01-10,"0",38.7,-121.3,"2",0,"2","2","0",42000,160800
"31911","0","2",1986-02-15,"0",33.7,-118,"2",0,"2","2","0",350,92000
"31913","0","2",1995-03-13,"0",32.6,-116.7,"2",0,"2","3","0",2356.93,98000
"31916","0","2",1982-01-04,"0",38.2,-122.6,"2",0,"2","3","0",10214.5,26300
"31919","0","2",1983-01-27,"0",34.1,-118.8,"2",0,"2","2","0",7483.5,53400
"31921","0","4",1995-01-10,"0",38.7,-121.5,"3",0,"3","2","0",8077.7,239500
"31922","0","2",1983-03-02,"0",34,-118.9,"3",0,"3","2","0",11000,53400
"31936","0","1",1983-03-02,"0",33.8,-118.2,"1",0,"3","2","0",2352,49000
"31938","0","1",1980-02-13,"0",33.7,-118.1,"2",0,"2","3","0",770.27,55000
"31940","0","2",1983-03-02,"0",34.4,-119.6,"3",0,"3","2","0",170.6,143100
"31950","0","2",1980-02-18,"0",38.1,-122.6,"2",0,"2","2","0",744.68,45000
"31952","0","2",1983-01-27,"0",37,-121.9,"2",0,"2","2","0",2190.75,45000
"31955","0","2",1986-02-17,"0",38.1,-122.6,"2",18,"2","2","0",2414.87,57600
"31960","0","2",1983-03-02,"0",34.2,-118.6,"2",0,"2","2","0",2313,70000
"31968","0","1",1992-02-13,"0",34.2,-118.7,"3",0,"3","2","0",14100,82300
"31975","0","2",1983-01-27,"0",37,-121.9,"3",0,"1","2","0",360,45000
"31976","0","1",1980-02-21,"0",34.1,-118.1,"2",0,"2","2","0",1791.5,45000
"31979","0","1",1986-02-18,"0",38.1,-122.3,"2",23,"2","2","0",1022.95,65000
"31987","0","1",1988-01-03,"0",39.9,-122.2,"2",0,"2","2","0",2709.96,10000
"31988","0","2",1983-03-02,"0",34,-118.8,"3",0,"1","2","0",927.2,45000
"31997","0","2",1983-03-02,"0",34.2,-118.4,"2",0,"2","2","0",1464.75,97500
"32003","0","1",1988-01-17,"0",33.8,-118.4,"2",0,"2","3","0",2e+05,400000
"32007","0","2",1983-03-02,"0",33.8,-118.2,"1",0,"1","2","0",4143.73,21000
"32008","0","1",1982-01-04,"0",37.6,-122.4,"2",0,"2","3","0",9232.28,10500
"32009","0","2",1983-03-01,"0",34.1,-118.4,"2",0,"2","2","0",2020,245000
"32012","0","2",1982-01-04,"0",38.2,-122.7,"2",0,"2","2","0",1559.89,107000
"32019","0","3",2005-01-10,"0",34.4,-119.3,"3",0,"3","2","1",28060.45,281100
"32022","0","2",1983-02-28,"0",38.2,-122.7,"2",0,"2","2","0",611.96,107000
"32026","0","1",1983-01-27,"0",37.5,-122.3,"3",0,"1","1","0",2069.94,110000
"32033","0","1",1982-01-04,"0",38,-122.5,"2",0,"2","3","0",450,10500
"32043","0","2",1983-01-27,"0",37,-121.9,"2",0,"2","2","0",506.9,45000
"32056","0","2",1983-01-27,"0",34.4,-119.5,"2",0,"2","2","0",15118.64,162500
"32058","0","4",1992-03-16,"0",38.7,-121.3,"2",0,"2","2","0",2101.46,14400
"32062","0","1",1986-03-08,"0",34.4,-119.1,"2",0,"2","2","0",950.73,90000
"32065","0","2",1983-03-02,"0",34.4,-119.5,"2",0,"2","2","0",14243.26,162500
"32067","0","2",1983-01-27,"0",33.2,-117.4,"3",0,"1","1","0",10000,45000
"32069","0","3",1986-01-30,"0",34.5,-119.4,"2",0,"2","2","0",5000,40000
"32071","0","2",1983-01-27,"0",34.1,-118.4,"1",0,"1","1","0",1666.6,110000
"32076","0","4",1997-01-22,"0",38.7,-121.4,"2",0,"2","2","1",5544.54,208100
"32083","0","2",1983-03-02,"0",34.2,-118.4,"2",0,"2","2","0",410,45000
"32087","0","2",1986-12-20,"0",36.7,-119.8,"2",0,"2","3","0",1203.88,38000
"32090","0","1",1983-03-02,"0",34.2,-118.3,"3",0,"1","2","0",3972.83,45000
"32102","0","1",1983-03-02,"0",33.5,-117.7,"1",0,"2","3","0",13858.66,69000
"32108","0","1",1983-12-03,"0",38,-122.5,"3",0,"3","3","0",25000,25000
"32115","0","2",1986-02-16,"0",38.3,-122,"2",0,"2","2","0",1245.2,45000
"32125","0","1",1983-03-02,"0",33.9,-118.2,"2",0,"2","2","0",1441.1,8600
"32126","0","1",1988-08-28,"0",35.6,-117.7,"2",0,"2","3","0",1603.7,10000
"32130","0","1",1983-01-27,"0",33.7,-118.1,"3",0,"1","2","0",3202,150000
"32135","0","2",1983-01-27,"0",34,-118.6,"2",0,"2","2","0",1784.42,32500
"32142","0","2",1998-02-23,"0",34.3,-118.3,"3",0,"3","2","0",85,23200
"32165","0","1",2006-01-01,"0",39.3,-123.1,"2",0,"2","2","0",29018,154700
"32189","0","2",2005-12-31,"0",38.2,-122.3,"3",0,"3","2","1",2492,144200
"32202","0","1",1982-01-04,"0",37.2,-122,"1",0,"1","2","0",1276.95,60000
"32203","0","1",1982-01-04,"0",37.9,-122.3,"2",0,"2","2","0",6158.18,45000
"32204","1","2",1992-02-10,"0",34.2,-118.5,"2",0,"3","1","1",1509.87,11600
"32205","0","1",1983-03-02,"0",32.8,-117.3,"2",0,"2","3","0",7816.81,10500
"32207","0","2",1998-02-03,"0",37,-122.1,"3",0,"3","2","0",4369.08,174400
"32214","0","2",2005-12-31,"0",38,-122.6,"2",0,"2","2","1",3839.26,38000
"32217","0","2",1998-02-03,"0",37,-121.9,"3",0,"3","2","0",337.9,58200
"32242","0","2",2005-12-30,"0",38.3,-122.3,"2",0,"2","2","0",3607.49,18000
"32243","0","4",1994-10-04,"0",38.6,-121.4,"2",0,"2","2","1",10852.7,152000
"32248","0","2",2005-12-31,"1",38,-122.5,"3",0,"3","2","1",10472.84,251000
"32250","0","2",1983-01-27,"0",38,-122.5,"2",0,"2","2","0",3762.78,49000
"32251","0","1",1982-01-04,"0",38,-122.5,"2",0,"2","2","0",1099.77,45000
"32266","0","1",1983-01-27,"0",38,-122.5,"2",0,"2","2","0",2652.4,45000
"32274","0","1",1982-01-04,"0",37.9,-122.5,"3",0,"1","2","0",5432.97,245000
"32279","0","2",1995-02-05,"0",34.1,-118.3,"2",0,"2","2","0",625.96,245000
"32284","0","2",1992-02-12,"0",34.3,-118.3,"2",0,"2","2","0",697.36,45000
"32296","0","2",1983-01-27,"0",34,-118.6,"2",0,"2","2","0",11372.2,119000
"32299","0","2",1993-01-20,"0",38.3,-122.3,"2",0,"2","2","1",1825.45,55700
"32303","0","4",1997-01-22,"0",38.6,-121.4,"3",0,"3","2","0",22300,22300
"32324","0","1",1983-03-02,"0",32.6,-117.1,"2",0,"2","2","0",10000,45000
"32330","0","2",1982-01-04,"0",34.1,-117.9,"1",0,"3","2","0",8009.5,45000
"32332","0","2",1982-01-04,"0",38,-122.6,"2",0,"2","2","0",10000,45000
"32340","0","2",1983-01-27,"0",34.1,-118.4,"3",0,"1","2","0",3151,10500
"32346","0","2",1982-01-04,"0",37.9,-122.5,"2",0,"2","3","0",149046.95,200000
"32358","0","4",1997-01-22,"0",38.7,-121.3,"2",0,"2","2","1",5908.71,98500
"32362","0","2",1983-01-28,"0",34,-118.8,"3",0,"1","2","0",6847.96,53400
"32372","0","1",1983-01-27,"0",32.6,-117.1,"3",0,"1","1","0",417.78,34200
"32383","0","2",1995-01-10,"0",34.1,-118.5,"3",0,"3","2","0",864.5,245000
"32398","0","2",1983-03-02,"0",34.4,-119.5,"2",0,"2","2","0",1013.5,225000
"32402","0","2",1986-02-17,"0",38,-122.6,"2",0,"2","2","0",965,45000
"32424","0","4",1986-02-19,"0",38.6,-121.5,"1",0,"3","2","0",12875.05,245000
"32434","0","4",1986-02-19,"0",38.2,-121.5,"2",0,"2","3","0",5300,5300
"32437","0","2",1983-01-27,"0",38.2,-122.3,"2",0,"2","2","0",1200,43600
"32438","0","1",1983-03-02,"0",33.9,-118.1,"2",0,"2","2","0",2178.72,130000
"32441","0","1",1983-03-02,"0",33.7,-117.9,"2",0,"2","2","0",1661.7,45000
"32443","0","2",1982-01-04,"0",38,-122.4,"2",0,"2","2","0",1497.56,67700
"32449","0","2",1983-01-27,"0",38,-122.5,"2",0,"2","2","0",7280.37,58500
"32459","0","2",1986-02-17,"0",37,-122,"3",0,"3","2","0",1032.38,45000
"32470","0","2",1982-01-04,"0",38.2,-122.3,"2",0,"2","2","0",596,39600
"32471","0","2",1983-01-27,"0",38.2,-121.6,"2",0,"2","2","0",10500,49000
"32472","0","2",1986-02-18,"0",38.2,-121.6,"2",0,"2","2","0",12200,63500
"32475","0","2",1998-02-09,"1",37,-122,"2",0,"2","2","0",1097.5,154800
"32477","0","2",1983-01-27,"0",37,-121.9,"1",0,"3","2","0",10000,45000
"32490","0","1",1986-02-18,"0",39.1,-122.9,"2",0,"2","2","0",5000,43500
"32504","0","1",1983-03-01,"0",40.2,-122.3,"2",0,"2","2","0",2808.2,45000
"32517","0","2",1983-01-27,"0",34,-118.7,"3",0,"1","2","0",10000,45000
"32523","0","2",1983-03-02,"0",34.1,-118.4,"2",0,"2","2","0",520,53400
"32528","0","2",1983-03-02,"0",34.4,-119.6,"2",0,"2","2","0",9115,122300
"32532","0","2",1983-01-27,"0",37,-122.1,"2",0,"2","2","0",892.85,45000
"32537","0","2",1992-02-12,"0",33.7,-118,"2",0,"2","2","0",643,51000
"32541","0","2",1993-01-13,"0",38,-122.3,"2",0,"2","2","0",3499.99,82900
"32542","0","2",1982-01-04,"0",37,-121.9,"3",0,"1","2","0",5415.21,45000
"32543","0","2",1983-02-28,"0",37,-121.9,"3",0,"1","2","0",7338,45000
"32544","0","2",1992-02-15,"0",34.1,-118.5,"2",0,"2","2","0",1477.27,89800
"32549","0","2",1983-01-27,"0",34.4,-119.6,"2",0,"2","2","0",2718,122300
"32551","0","2",1983-01-27,"0",34.1,-118.3,"2",0,"2","2","0",747.66,49000
"32556","0","2",1982-01-04,"0",38.1,-122.6,"3",0,"3","2","0",1690.8,92000
"32558","0","4",1986-02-16,"0",38.7,-121.4,"2",0,"2","2","0",10500,49000
"32562","0","2",1983-01-27,"0",38.2,-122.3,"1",0,"3","2","0",1716.97,26800
"32564","0","1",1982-01-04,"0",38,-122.5,"2",0,"2","3","0",10000,110000
"32569","0","1",1983-03-02,"0",33.7,-117.9,"2",0,"2","2","0",4208.76,11000
"32575","0","1",1982-01-04,"0",38.4,-122.8,"2",0,"2","3","0",9176.55,10500
"32582","0","2",1982-01-04,"0",36.9,-121.7,"2",0,"2","2","0",4502.82,45000
"32585","0","1",1983-03-02,"0",34,-118.1,"2",0,"2","2","0",106,49000
"32592","0","4",1997-01-02,"0",38.2,-121.6,"3",0,"3","2","1",10122.8,195000
"32594","0","4",1986-02-19,"0",38.2,-121.6,"3",0,"3","2","0",12500,72500
"32597","0","2",1983-01-27,"0",34.4,-119.6,"3",0,"1","2","0",2031,148600
"32601","0","1",1982-01-04,"0",37.7,-122.5,"2",0,"2","2","0",2233.5,113800
"32602","0","2",1983-03-02,"0",34.1,-118.4,"2",0,"2","2","0",912.82,215000
"32603","0","1",1983-01-27,"0",33.7,-118.1,"3",0,"1","2","0",1374,53400
"32606","0","2",1986-02-17,"0",37,-121.9,"2",0,"2","2","0",1525,45000
"32608","0","2",1982-01-04,"0",37.1,-122.1,"1",0,"3","2","0",1100,36100
"32619","0","2",1983-03-01,"0",37,-121.9,"3",0,"1","2","0",3475.95,45000
"32620","0","2",1986-02-18,"0",38.3,-122.3,"1",0,"3","1","0",1757.5,144700
"32621","0","2",1982-01-04,"0",38,-122.6,"3",0,"1","2","0",6420.43,94100
"32624","0","2",1983-01-27,"0",37,-121.9,"2",0,"2","2","0",10000,45000
"32631","0","1",1983-01-27,"0",34.1,-118.4,"2",0,"1","3","0",2555,100000
"32633","0","1",1986-02-17,"0",38.5,-123,"3",0,"1","1","0",6200,57500
"32635","0","1",1983-01-27,"0",39.8,-122.2,"2",0,"2","3","0",2000,13000
"32641","0","1",1988-01-18,"0",34.3,-119.4,"3",0,"3","2","0",3960.56,211300
"32642","0","2",1983-03-02,"0",34.1,-118.7,"1",0,"3","2","0",853,38500
"32649","0","3",1983-03-02,"0",38,-121.6,"2",0,"2","2","0",181.32,45000
"32654","0","1",1983-03-02,"0",34.2,-119.1,"2",0,"2","3","0",265,30000
"32655","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"2","2","0",13595.05,38000
"32662","0","3",1982-01-04,"0",38.5,-121.4,"2",0,"2","3","0",2528.42,65000
"32663","0","2",1983-01-27,"0",34.1,-118.8,"1",0,"3","2","0",159.97,102400
"32664","0","2",1982-01-04,"0",37,-122,"2",0,"2","2","0",10000,45000
"32666","0","2",1986-02-18,"0",38.8,-121.5,"3",0,"1","2","0",9076,45000
"32671","0","2",1986-02-14,"0",38.2,-122.6,"2",0,"2","2","0",12780,68700
"32680","0","2",1982-01-04,"0",38.3,-122.6,"2",0,"2","2","0",4416.64,60000
"32681","0","3",1982-01-04,"0",36.8,-121.7,"2",0,"2","2","0",414.05,15000
"32690","0","2",1983-03-02,"0",39.1,-122.9,"2",0,"2","3","0",3000,4000
"32691","0","2",1986-02-18,"0",39.1,-122.9,"2",0,"2","3","0",1264,4300
"32702","0","2",1980-02-15,"0",32.9,-116.9,"2",0,"2","2","0",2159.3,45000
"32718","0","2",1983-01-27,"0",37.9,-122.5,"2",0,"1","3","0",5797,10000
"32724","0","2",1982-01-04,"0",38.1,-122.6,"1",0,"3","2","0",540.25,45000
"32731","0","2",1980-02-20,"0",32.9,-116.9,"2",0,"3","2","0",8315.49,45000
"32743","0","1",1983-01-27,"0",37,-121.9,"2",0,"2","2","0",777.35,45000
"32744","0","2",1988-01-18,"0",34,-118.7,"1",0,"1","2","0",244,112600
"32749","0","3",1983-03-02,"0",33.4,-117.6,"3",0,"3","2","0",979.3,245000
"32754","0","1",1983-03-02,"0",34,-118.2,"2",0,"2","3","0",5443.6,27600
"32758","0","2",1983-03-02,"0",34.1,-118.5,"3",0,"3","2","0",115,245000
"32759","0","4",1986-02-18,"0",38.7,-121.3,"2",0,"2","2","0",3727.14,70000
"32765","0","3",1982-01-04,"0",38.6,-121.4,"2",0,"2","3","0",1007.48,23800
"32766","0","2",1983-03-01,"0",37.8,-122.4,"3",0,"1","2","0",1017.4,40000
"32768","0","1",1982-01-04,"0",37.9,-122.5,"2",0,"2","2","0",199.36,20000
"32782","0","2",1983-01-27,"0",37,-122,"2",0,"2","2","0",892.3,45000
"32793","0","2",1983-03-02,"0",34.1,-118.5,"2",0,"2","2","0",1362,245000
"32796","0","3",1983-01-27,"0",34.3,-119.4,"2",0,"2","2","0",10000,45000
"32799","0","1",1982-01-04,"0",38.4,-120.8,"2",0,"2","2","0",850.64,40000
"32800","0","1",1992-02-19,"0",38,-122.5,"3",0,"3","2","0",4356.3,245000
"32811","0","2",1983-03-02,"0",34.1,-118.8,"3",0,"1","2","0",9089.06,10000
"32825","0","1",1993-02-06,"0",34.1,-118.4,"3",0,"3","3","0",1506.78,215000
"32826","0","3",1983-01-27,"0",34.4,-119.4,"3",0,"3","2","0",2780.5,45000
"32827","0","2",1983-01-27,"0",34.1,-118.4,"2",0,"2","2","0",536.45,23000
"32829","0","2",1982-01-04,"0",37,-121.9,"3",0,"3","2","0",10000,45000
"32830","0","2",1983-01-27,"0",34.1,-118.3,"3",0,"3","2","0",392.32,214000
"32841","0","2",1982-01-04,"0",38.2,-122.6,"2",0,"3","3","0",31500,31500
"32842","0","2",1982-01-04,"0",38,-122.6,"2",0,"2","2","0",809.04,45000
"32845","0","4",1995-12-12,"0",38.6,-121.4,"3",0,"1","2","1",770,183000
"32848","0","1",1986-02-18,"0",38.1,-121.3,"2",49.5,"2","2","0",5536.16,245000
"32855","0","2",1998-02-03,"0",33,-117.3,"3",0,"3","3","0",14284.5,220500
"32858","0","1",1983-03-02,"0",32.7,-117.1,"2",0,"2","3","0",9238.5,15000
"32865","0","1",2004-10-16,"0",33.7,-118.1,"2",0,"2","2","0",5020.75,326700
"32873","0","1",1997-01-03,"0",40,-121.1,"2",0,"2","2","0",866.5,48700
"32877","0","2",1982-01-04,"0",37.1,-122,"1",0,"3","2","0",1203,15000
"32883","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"2","2","0",3000,8000
"32884","0","2",1983-01-27,"0",34.1,-118.4,"3",0,"3","2","0",4745.05,90000
"32910","0","2",1982-01-04,"0",38,-122.6,"1",0,"3","2","0",10000,45000
"32913","0","2",1982-01-04,"0",38,-122.5,"2",0,"2","2","0",59,45000
"32914","0","1",1983-03-02,"0",34.4,-119.6,"2",0,"2","2","0",6600,79200
"32919","0","2",1983-03-01,"0",37.9,-122.6,"3",0,"1","2","0",14645.5,245000
"32921","0","2",1995-01-10,"0",34,-118.6,"2",0,"2","3","0",46745.52,260000
"32922","0","1",1991-07-07,"0",34.4,-117.3,"2",0,"2","2","0",2426.85,150000
"32934","0","2",1983-03-02,"0",34.1,-118.4,"3",0,"3","2","0",250,98300
"32939","0","1",1983-01-27,"0",38,-122.5,"3",0,"1","1","0",1041.02,110000
"32947","0","2",1982-01-04,"0",37,-121.9,"2",0,"2","2","0",1942,45000
"32949","0","1",1983-03-02,"0",39.1,-122.9,"2",0,"2","2","0",772.5,108800
"32960","0","2",1982-01-04,"0",37.9,-122.5,"2",0,"2","2","0",8767.2,45000
"32962","0","4",1986-02-17,"0",38.6,-121.6,"2",0,"2","2","0",6260,158000
"32972","0","4",1982-01-04,"0",38.7,-121.3,"2",0,"2","2","0",497.6,35000
"32973","0","4",1983-01-27,"0",38.7,-121.3,"2",0,"2","2","0",403.26,38000
"32974","0","4",1986-02-17,"0",38.7,-121.3,"2",0,"2","2","0",11000,41300
"32975","0","2",1983-01-27,"0",38,-122.5,"2",0,"2","2","0",217.45,45000
"32979","0","1",1982-01-04,"0",38.5,-122.9,"2",0,"2","2","0",2182.5,45000
"32981","0","2",1983-03-01,"0",37,-121.9,"3",0,"1","2","0",1369.21,45000
"32988","0","2",1983-03-02,"0",33.7,-118,"2",0,"2","2","0",1050.75,22100
"32995","0","1",1983-03-02,"0",34,-117.7,"2",0,"2","2","0",981.3,19600
"33000","0","2",1983-01-27,"0",34.1,-118.4,"2",0,"2","2","0",6646.8,197500
"33005","0","2",1983-01-27,"0",34.2,-119.2,"2",0,"2","2","0",3303.26,45000
"33023","0","1",1983-01-27,"0",38,-122.5,"3",0,"3","1","0",420,110000
"33027","0","2",1982-01-04,"0",37.1,-122.1,"2",0,"2","2","0",2000,32000
"33030","0","2",1983-03-02,"0",34.1,-118.4,"2",0,"2","2","0",11248.5,245000
"33033","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"2","2","0",2000,72000
"33079","0","4",1986-02-16,"0",38.6,-121.4,"2",0,"2","2","0",46387.05,155700
"33089","0","3",1983-02-28,"0",36.5,-121.7,"2",0,"2","2","0",406,45000
"33104","0","2",1983-01-27,"0",34.1,-118.4,"2",0,"2","2","0",320,115500
"33107","0","2",1982-01-04,"0",38.6,-121.7,"2",0,"2","2","0",2966.78,80000
"33115","0","3",1992-02-12,"0",34.4,-119.3,"2",0,"2","2","0",1394,49000
"33120","0","2",1980-02-24,"0",32.9,-116.9,"2",0,"2","2","0",10000,40000
"33123","0","2",1983-03-02,"0",34.2,-118.5,"2",0,"2","2","0",300,245000
"33133","0","2",1983-01-27,"0",34.4,-119.5,"2",0,"2","2","0",408.25,89000
"33137","0","2",1998-01-09,"0",37.1,-122.1,"2",0,"2","2","1",1475.19,233100
"33147","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"2","2","0",1486,45000
"33153","0","1",2004-12-07,"0",37.6,-122.4,"2",0,"2","3","0",561.61,40700
"33165","0","2",2005-01-10,"0",34.1,-118.3,"3",0,"3","2","1",14169.2,350000
"33186","0","2",1993-03-26,"0",40.5,-122.3,"2",0,"2","2","0",5543.1,121900
"33200","0","2",2017-02-27,"0",33.1,-116.9,"2",0,"2","2","1",7520.37,350000
"33207","0","4",1986-02-18,"0",38.2,-121.6,"2",0,"2","2","0",21000,59500
"33216","0","2",1992-07-14,"0",32.7,-117,"2",0,"2","2","0",2044.03,10000
"33217","0","2",1993-02-07,"0",34.1,-118.4,"2",0,"2","2","1",335,60000
"33224","0","1",1998-01-28,"0",33,-117.3,"3",0,"3","3","0",734.62,1000000
"33225","0","2",1983-02-28,"0",37.2,-121.8,"2",0,"2","2","0",10000,45000
"33226","0","2",1995-03-09,"0",38.4,-122.3,"2",0,"2","2","0",24476.84,183600
"33232","0","2",1982-01-04,"0",37,-122,"3",0,"3","2","0",2835,40000
"33235","0","2",1986-02-14,"0",38.4,-122.3,"2",0,"2","2","0",12800,72200
"33236","0","2",1983-01-27,"0",34,-118.6,"2",0,"2","2","0",8915,200000
"33237","0","2",1997-01-22,"0",38.7,-122,"2",0,"2","2","0",6000,88500
"33263","0","2",1983-01-27,"0",34,-118.8,"3",0,"3","2","0",660.77,245000
"33264","0","2",1983-03-02,"0",34,-118.8,"3",0,"3","2","0",2646.14,245000
"33265","0","2",1994-11-05,"0",37.9,-122.5,"2",0,"2","2","1",3448.9,25000
"33266","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"2","2","0",3000,13300
"33286","0","4",1997-01-23,"0",38.7,-121.3,"2",0,"2","2","1",14300,108800
"33291","0","2",1982-01-04,"0",38.6,-121.7,"2",0,"2","2","0",3998.82,80000
"33293","0","2",1993-01-20,"0",38.3,-122.3,"2",0,"2","2","0",565,100000
"33298","0","2",1986-02-20,"0",36.6,-121.5,"3",0,"1","2","0",11000,53400
"33313","0","2",1983-03-02,"0",34,-118.7,"2",0,"2","2","0",894.01,245000
"33317","0","1",1994-02-20,"0",34,-118.7,"2",0,"2","2","1",1455,30000
"33326","0","4",1986-02-18,"0",38.7,-121.3,"3",0,"3","2","0",2937.25,168700
"33327","0","2",1983-01-27,"0",34,-118.6,"2",0,"2","2","0",5053.96,30000
"33336","0","2",1983-03-02,"0",36.6,-121.5,"3",0,"1","2","0",632,45000
"33344","0","2",1986-02-18,"0",39,-122.9,"2",0,"2","2","0",4853.07,45000
"33352","0","2",1995-01-09,"0",37,-122,"2",0,"2","2","1",28297.5,245000
"33354","0","2",1983-01-27,"0",39,-122.6,"2",0,"2","2","0",150,23000
"33363","0","1",1983-01-27,"0",33.7,-118.1,"3",0,"1","2","0",841,245000
"33365","0","1",1982-01-04,"0",37.9,-122.5,"2",0,"2","2","0",660,245000
"33371","0","2",1994-10-04,"0",38,-122.5,"2",0,"2","2","0",379,133300
"33389","0","2",1992-02-13,"0",34,-118.6,"2",0,"2","2","0",5110,29600
"33390","0","2",1995-01-10,"0",34,-118.6,"2",0,"2","2","0",30296.67,32700
"33392","0","2",1989-10-23,"0",38.1,-122.6,"2",0,"2","3","0",981,20000
"33395","0","2",1986-02-14,"0",38.2,-122.6,"2",0,"2","2","0",27600,151700
"33405","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"3","1","0",1155.5,80000
"33407","0","2",1995-03-12,"0",39,-122.8,"2",0,"2","2","0",10500,52900
"33408","0","2",1998-02-07,"0",39,-122.8,"2",0,"2","2","0",179.69,52900
"33424","0","2",1983-01-27,"0",34.4,-119.6,"3",0,"3","2","0",251,245000
"33436","0","1",1994-02-07,"0",34.2,-118.1,"2",0,"2","2","0",318,240000
"33444","0","1",1997-12-06,"0",33.6,-117.8,"2",0,"2","2","1",7049.17,245000
"33451","0","4",2000-02-13,"0",38.9,-121.1,"2",0,"2","3","0",5839.9,14200
"33465","0","2",1983-01-27,"0",34,-118.6,"3",0,"1","1","0",2100,222100
"33466","0","2",1982-01-04,"0",38.1,-122.6,"2",0,"2","2","0",6887,80000
