"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"569","0","2",2005-12-30,"0",38.3,-122.3,"2",0,"2","1","1",6906,89800
"570","0","1",2019-05-16,"1",34.4,-119.5,"1",0,"3","2","1",5862.71,350000
"571","0","1",2019-05-16,"1",34.4,-119.5,"1",0,"3","2","1",5862.71,350000
"573","0","2",2005-12-30,"0",38.3,-122.3,"2",0,"2","3","0",124550.78,659600
"577","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","1",1876.67,350000
"583","0","2",2005-12-31,"1",39.2,-121.4,"3",0,"1","2","1",1690.3,280000
"584","0","2",2017-01-08,"1",39.2,-121.4,"3",0,"1","2","1",3762.89,350000
"591","0","1",1995-01-04,"0",33.7,-118,"1",0,"3","2","0",764,125000
"615","0","4",1995-01-10,"0",38.7,-121.3,"1",0,"3","2","0",1961.5,62000
"619","0","1",1998-02-03,"0",33.9,-118.4,"1",0,"3","2","1",1290.86,310000
"624","0","2",2005-12-31,"1",38.3,-122.3,"2",0,"2","3","0",11213.48,76800
"626","0","2",1998-02-03,"1",37.5,-122.1,"1",1.6,"2","2","0",8592.27,224000
"627","0","1",2015-10-04,"0",38.5,-122.5,"1",212.7,"3","2","1",5653.72,281600
"629","0","2",1998-02-03,"0",34.1,-118.4,"1",0,"2","2","0",825.89,310000
"632","0","3",1995-01-08,"1",38.5,-121.5,"1",0,"2","2","1",823.75,154700
"638","0","1",2014-12-11,"0",37.6,-122.4,"2",0,"2","2","0",3868.41,550000
"640","0","2",2017-02-21,"1",37.3,-121.9,"2",2,"2","2","0",10029.82,325000
"650","0","2",1998-02-03,"0",37.1,-122.1,"1",0,"1","2","0",20000,180000
"655","1","2",1995-03-10,"1",34,-119,"2",0,"1","1","0",14441.42,350000
"659","0","1",2019-02-27,"0",38.4,-122.8,"2",71.3,"2","2","0",6101,100000
"664","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",10503.81,146600
"665","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",44600,381600
"672","0","2",1998-02-03,"0",34.2,-118.5,"1",0,"2","2","0",3570,310000
"674","0","1",1993-02-19,"0",37.5,-120.8,"2",0,"2","2","0",500,200500
"675","0","3",1997-01-01,"0",37.9,-122.1,"1",0,"2","2","1",1359,100000
"676","0","4",1995-01-09,"0",38.6,-121.5,"1",0,"3","2","1",3415.98,160000
"681","0","2",1992-02-10,"0",34.1,-118.8,"1",0,"2","2","0",24236.68,162800
"682","0","2",1995-01-10,"0",34.1,-118.8,"1",0,"2","2","0",33498.25,191800
"683","0","4",1986-02-18,"0",38.6,-121.4,"2",0,"2","2","0",1896.24,245000
"685","0","3",1998-02-09,"1",36.5,-121.9,"1",0,"3","2","0",164.8,70000
"696","0","2",1998-02-02,"0",37.5,-122.5,"1",0,"2","2","1",3308.35,310000
"699","0","2",1997-01-05,"1",38.2,-121.6,"1",0,"3","2","0",11318.31,179400
"700","0","2",1998-01-29,"0",34,-118.3,"3",0,"1","3","0",2637.62,60000
"708","0","2",1986-02-15,"0",37.9,-122.1,"2",0,"2","2","0",1271,3200
"711","0","2",1998-02-02,"1",37.1,-122.1,"1",0,"2","2","0",17185.1,166000
"713","0","1",1986-02-17,"0",38.5,-122.9,"2",0,"2","2","0",10500,65500
"721","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","0",4506.48,108000
"723","0","1",2010-01-22,"0",32.8,-117.3,"1",0,"2","2","0",4063.65,105000
"726","0","2",1995-01-10,"1",34.1,-118.8,"1",0,"2","2","0",4821.98,128900
"731","0","2",1998-02-07,"0",34.1,-118.6,"1",0,"3","2","1",4332.72,310000
"735","0","1",1996-12-03,"0",37.6,-121,"2",0,"2","2","1",10001,90000
"738","0","1",1996-01-27,"0",38.4,-122.8,"2",0,"2","2","1",25829.26,173000
"739","0","1",1996-02-03,"0",38.4,-122.8,"2",0,"2","2","1",33542.93,173000
"756","0","2",1993-01-20,"1",38.3,-122.3,"2",0,"2","2","0",10569.29,133300
"757","0","2",2005-12-30,"0",38.4,-122.3,"2",0,"2","2","1",7314.32,294000
"768","0","2",2005-12-31,"0",38.1,-122.6,"2",0,"2","2","1",1708.08,350000
"771","0","2",2005-12-30,"0",39.4,-121.1,"2",0,"2","2","0",4140.8,90500
"775","0","2",2005-12-31,"1",38.1,-122.6,"2",0,"2","2","1",5000,350000
"777","0","2",2005-12-31,"0",38.3,-122.3,"3",0,"3","3","0",5416.24,23600
